time,angle_set0,angle_set1,angle_real0,angle_real1
15.0241,0.75,4.94,-0.99,5.11
15.0478,1.48,4.78,-0.17,5.01
15.0716,2.17,4.5,0.56,4.97
15.0951,2.81,4.13,1.36,4.98
15.1178,3.37,3.69,2.09,4.99
15.141,3.87,3.16,2.75,4.81
15.1637,4.28,2.58,3.46,4.25
15.1866,4.61,1.94,4.16,3.33
15.2096,4.84,1.26,4.68,2.39
15.2329,4.97,0.54,5.08,1.6
15.2558,5.0,-0.18,5.34,0.92
15.2789,4.92,-0.9,5.54,0.31
15.302,4.74,-1.6,5.5,-0.17
15.3249,4.46,-2.27,5.29,-0.65
15.3479,4.08,-2.89,5.07,-1.22
15.3707,3.63,-3.44,4.86,-1.84
15.394,3.09,-3.93,4.66,-2.44
15.4169,2.49,-4.33,4.37,-3.12
15.4401,1.84,-4.65,3.95,-3.7
15.4634,1.14,-4.87,3.12,-4.18
15.4862,0.43,-4.98,2.22,-4.61
15.509,-0.28,-4.99,1.19,-4.96
15.5319,-1.0,-4.9,0.23,-5.26
15.5547,-1.68,-4.71,-0.71,-5.4
15.5775,-2.34,-4.42,-1.65,-5.36
15.6006,-2.95,-4.03,-2.52,-5.08
15.6235,-3.5,-3.57,-3.23,-4.76
15.6463,-3.98,-3.03,-3.81,-4.37
15.669,-4.37,-2.44,-4.32,-4.01
15.6918,-4.67,-1.79,-4.8,-3.63
15.7146,-4.88,-1.1,-5.19,-3.12
15.7374,-4.98,-0.4,-5.55,-2.34
15.7631,-4.98,0.41,-5.87,-1.54
15.7864,-4.87,1.13,-6.02,-0.66
15.8098,-4.65,1.83,-5.96,0.16
15.8331,-4.33,2.49,-5.6,1.0
15.856,-3.93,3.09,-5.12,1.78
15.8793,-3.44,3.63,-4.58,2.59
15.9034,-2.85,4.11,-4.04,3.43
15.9283,-2.18,4.5,-3.55,4.24
15.9518,-1.49,4.77,-3.12,4.87
15.9757,-0.76,4.94,-2.6,5.18
15.9992,-0.03,5.0,-1.9,5.18
16.0227,0.71,4.95,-0.94,5.08
16.0465,1.44,4.79,0.09,5.04
16.0707,2.15,4.51,1.11,5.04
16.0939,2.78,4.15,2.08,5.08
16.117,3.35,3.71,2.95,5.08
16.1407,3.87,3.17,3.91,4.81
16.1638,4.28,2.58,4.61,4.1
16.1878,4.62,1.9,5.13,3.14
16.212,4.86,1.18,5.5,2.18
16.2365,4.98,0.42,5.68,1.45
16.2597,4.99,-0.3,5.59,0.81
16.2835,4.89,-1.04,5.37,0.28
16.3067,4.69,-1.74,5.23,-0.18
16.33,4.38,-2.41,5.13,-0.69
16.353,3.99,-3.01,5.06,-1.33
16.3767,3.5,-3.57,5.0,-2.0
16.4001,2.94,-4.05,4.88,-2.68
16.4238,2.3,-4.44,4.48,-3.36
16.4481,1.6,-4.74,3.49,-3.99
16.4717,0.88,-4.92,2.16,-4.49
16.4956,0.14,-5.0,0.73,-4.92
16.5183,-0.57,-4.97,-0.44,-5.24
16.5425,-1.32,-4.82,-1.44,-5.41
16.5666,-2.03,-4.57,-1.95,-5.41
16.5902,-2.68,-4.22,-2.16,-5.23
16.6134,-3.27,-3.78,-2.23,-4.94
16.6369,-3.79,-3.26,-2.35,-4.62
16.6598,-4.22,-2.68,-2.69,-4.29
16.6829,-4.56,-2.05,-3.17,-3.9
16.7058,-4.81,-1.37,-3.76,-3.39
16.7288,-4.96,-0.66,-4.39,-2.65
16.752,-5.0,0.06,-4.98,-1.86
16.7756,-4.94,0.8,-5.36,-0.97
16.799,-4.76,1.52,-5.35,-0.14
16.8225,-4.49,2.2,-4.87,0.66
16.8453,-4.13,2.82,-4.11,1.48
16.8685,-3.68,3.39,-3.39,2.24
16.8919,-3.14,3.89,-2.82,3.03
16.9147,-2.55,4.3,-2.36,3.82
16.9381,-1.9,4.63,-2.11,4.56
16.9614,-1.2,4.85,-1.88,5.11
16.9844,-0.49,4.98,-1.67,5.31
17.0076,0.24,4.99,-1.28,5.12
17.0309,0.96,4.91,-0.58,4.89
17.0542,1.67,4.71,0.27,4.74
17.0776,2.34,4.42,1.22,4.7
17.101,2.96,4.03,2.17,4.76
