-106.0,5.0,-6360.0,300.0,1.0,-143.0,0.0,0.0,107.0,-148.0,6360.0,-300.0
-129.0,-17.0,-1366.607,-1307.19,1.0,-143.0,0.0,0.0,130.0,-126.0,1366.607,1307.19
-157.0,-49.0,-186.381,-213.007,1.0,-143.0,0.0,0.0,158.0,-94.0,186.381,213.007
-161.0,-55.0,-197.922,-296.883,1.0,-143.0,0.0,0.0,162.0,-88.0,197.922,296.883
-166.0,-60.0,-271.003,-271.003,1.0,-143.0,0.0,0.0,167.0,-83.0,271.003,271.003
-170.0,-65.0,-208.117,-260.146,1.0,-143.0,0.0,0.0,171.0,-78.0,208.117,260.146
-176.0,-70.0,-273.723,-228.102,1.0,-143.0,0.0,0.0,177.0,-73.0,273.723,228.102
-181.0,-75.0,-277.778,-277.778,1.0,-143.0,0.0,0.0,182.0,-68.0,277.778,277.778
-181.0,-75.0,0.0,0.0,1.0,-143.0,0.0,0.0,182.0,-68.0,0.0,0.0
-179.0,-74.0,115.607,57.803,1.0,-143.0,0.0,0.0,180.0,-69.0,-115.607,-57.803
-178.0,-73.0,63.171,63.171,1.0,-143.0,0.0,0.0,179.0,-70.0,-63.171,-63.171
-179.0,-73.0,-63.211,0.0,1.0,-143.0,0.0,0.0,180.0,-70.0,63.211,0.0
-179.0,-74.0,0.0,-63.654,1.0,-143.0,0.0,0.0,180.0,-69.0,0.0,63.654
-181.0,-75.0,-141.443,-70.721,1.0,-143.0,0.0,0.0,182.0,-68.0,141.443,70.721
-180.0,-75.0,69.881,0.0,1.0,-143.0,0.0,0.0,181.0,-68.0,-69.881,0.0
-180.0,-75.0,0.0,0.0,1.0,-143.0,0.0,0.0,181.0,-68.0,0.0,0.0
-178.0,-75.0,134.499,0.0,1.0,-143.0,0.0,0.0,179.0,-68.0,-134.499,0.0
-177.0,-75.0,67.431,0.0,1.0,-143.0,0.0,0.0,178.0,-68.0,-67.431,0.0
-177.0,-74.0,0.0,60.168,1.0,-143.0,0.0,0.0,178.0,-69.0,0.0,-60.168
-175.0,-74.0,134.499,0.0,1.0,-143.0,0.0,0.0,176.0,-69.0,-134.499,0.0
-172.0,-74.0,200.669,0.0,1.0,-143.0,0.0,0.0,173.0,-69.0,-200.669,0.0
-170.0,-73.0,119.976,59.988,1.0,-143.0,0.0,0.0,171.0,-70.0,-119.976,-59.988
